iter	Passed	Remaining
0	2	2535
1	4	2101
2	5	1848
3	7	1775
4	8	1684
5	9	1616
6	10	1558
7	12	1507
8	13	1514
9	15	1566
10	17	1549
11	19	1567
12	21	1651
13	23	1660
14	25	1693
15	28	1738
16	34	1972
17	36	1989
18	39	2028
19	41	2032
20	43	2024
21	45	2016
22	47	1999
23	49	2015
24	51	2011
25	53	1999
26	55	1991
27	57	1980
28	59	1986
29	61	1979
30	63	2000
31	66	1999
32	70	2064
33	72	2059
34	75	2073
35	77	2076
36	79	2071
37	81	2059
38	83	2050
39	85	2043
40	91	2136
41	93	2126
42	94	2111
43	97	2118
44	99	2108
45	101	2096
46	102	2082
47	104	2069
48	107	2078
49	110	2107
50	113	2104
51	115	2106
52	117	2099
53	119	2094
54	121	2085
55	122	2072
56	125	2075
57	128	2093
58	130	2088
59	133	2095
60	136	2094
61	138	2101
62	140	2091
63	143	2100
64	145	2098
65	147	2090
66	149	2082
67	151	2072
68	152	2063
69	154	2055
70	156	2051
71	158	2043
72	160	2034
73	164	2055
74	166	2049
75	167	2041
76	170	2038
77	172	2035
78	174	2033
79	176	2027
80	178	2026
81	183	2052
82	184	2037
83	186	2034
84	188	2027
85	189	2018
86	191	2011
87	193	2003
88	194	1994
89	196	1984
90	199	1997
91	202	1993
92	203	1986
93	205	1981
94	207	1974
95	209	1969
96	211	1967
97	213	1961
98	214	1956
99	219	1973
100	221	1970
101	223	1968
102	229	1999
103	231	1994
104	233	1986
105	236	1992
106	239	1994
107	241	1995
108	243	1990
109	245	1987
110	247	1981
111	248	1974
112	253	1986
113	255	1983
114	257	1978
115	258	1972
116	260	1968
117	262	1963
118	265	1965
119	268	1968
120	274	1990
121	276	1988
122	278	1983
123	280	1978
124	282	1975
125	288	1998
126	290	1999
127	294	2009
128	297	2005
129	298	1999
130	300	1995
131	302	1991
132	308	2007
133	309	2003
134	313	2006
135	315	2005
136	317	1999
137	319	1994
138	322	1994
139	330	2030
140	332	2025
141	333	2015
142	335	2010
143	337	2004
144	338	1998
145	340	1992
146	342	1986
147	344	1984
148	346	1979
149	348	1973
150	350	1967
151	351	1961
152	353	1954
153	355	1951
154	357	1950
155	360	1948
156	367	1972
157	369	1969
158	371	1964
159	374	1964
160	377	1966
161	384	1989
162	386	1985
163	388	1979
164	389	1973
165	391	1968
166	393	1964
167	395	1959
168	397	1953
169	400	1954
170	402	1950
171	404	1944
172	406	1942
173	408	1937
174	410	1935
175	412	1929
176	413	1923
177	415	1919
178	420	1929
179	422	1926
180	424	1922
181	427	1919
182	428	1914
183	430	1909
184	433	1911
185	437	1915
186	439	1911
187	441	1907
188	443	1903
189	445	1899
190	447	1894
191	448	1888
192	450	1883
193	451	1877
194	454	1875
195	457	1875
196	458	1870
197	460	1865
198	463	1867
199	465	1863
200	467	1859
201	469	1856
202	475	1868
203	478	1865
204	480	1864
205	482	1860
206	484	1856
207	486	1851
208	488	1847
209	489	1842
210	491	1839
211	494	1838
212	496	1835
213	498	1831
214	500	1826
215	502	1825
216	505	1824
217	508	1824
218	520	1857
219	522	1854
220	527	1861
221	535	1877
222	539	1878
223	541	1874
224	542	1870
225	545	1867
226	547	1863
227	549	1861
228	552	1859
229	554	1856
230	556	1852
231	558	1848
232	560	1844
233	562	1841
234	564	1837
235	567	1837
236	570	1836
237	572	1832
238	574	1830
239	576	1826
240	578	1820
241	579	1815
242	581	1810
243	582	1804
244	585	1803
245	586	1798
246	588	1794
247	590	1789
248	592	1785
249	634	1903
250	636	1898
251	637	1893
252	644	1902
253	647	1901
254	648	1895
255	650	1890
256	652	1885
257	653	1880
258	666	1907
259	668	1903
260	670	1898
261	672	1893
262	673	1888
263	687	1917
264	690	1915
265	693	1912
266	694	1907
267	697	1904
268	698	1899
269	700	1894
270	702	1889
271	703	1884
272	705	1879
273	707	1874
274	708	1869
275	710	1864
276	712	1859
277	717	1864
278	721	1863
279	722	1859
280	724	1853
281	726	1848
282	727	1843
283	729	1839
284	731	1835
285	734	1833
286	737	1832
287	739	1827
288	740	1822
289	742	1818
290	744	1814
291	746	1811
292	748	1806
293	750	1802
294	753	1801
295	755	1797
296	757	1794
297	759	1789
298	761	1785
299	763	1781
300	766	1780
301	772	1785
302	775	1784
303	777	1780
304	780	1778
305	782	1773
306	784	1769
307	785	1765
308	787	1761
309	789	1757
310	791	1753
311	793	1749
312	795	1746
313	797	1741
314	799	1738
315	801	1735
316	804	1732
317	816	1750
318	825	1761
319	832	1768
320	838	1773
321	840	1770
322	842	1766
323	844	1762
324	851	1768
325	853	1763
326	854	1759
327	857	1757
328	859	1753
329	861	1749
330	864	1746
331	870	1750
332	873	1749
333	878	1751
334	880	1747
335	886	1751
336	888	1747
337	890	1743
338	893	1742
339	895	1739
340	897	1734
341	900	1732
342	926	1775
343	935	1783
344	941	1787
345	943	1783
346	944	1778
347	946	1773
348	948	1768
349	949	1763
350	951	1758
351	953	1754
352	957	1754
353	959	1751
354	961	1746
355	964	1744
356	965	1739
357	967	1735
358	969	1730
359	971	1726
360	973	1722
361	979	1725
362	980	1720
363	982	1717
364	984	1712
365	986	1708
366	988	1704
367	992	1704
368	994	1700
369	996	1697
370	998	1692
371	1001	1690
372	1003	1686
373	1005	1682
374	1006	1678
375	1012	1679
376	1014	1676
377	1015	1671
378	1019	1670
379	1021	1666
380	1023	1662
381	1024	1657
382	1026	1653
383	1028	1650
384	1030	1645
385	1032	1641
386	1034	1638
387	1036	1634
388	1038	1631
389	1039	1626
390	1041	1622
391	1043	1618
392	1046	1616
393	1050	1615
394	1051	1611
395	1053	1606
396	1055	1602
397	1057	1599
398	1059	1595
399	1060	1591
400	1062	1587
401	1064	1583
402	1066	1579
403	1070	1579
404	1075	1580
405	1077	1576
406	1079	1572
407	1080	1567
408	1083	1564
409	1086	1562
410	1090	1562
411	1092	1558
412	1094	1554
413	1095	1550
414	1097	1546
415	1099	1542
416	1101	1539
417	1103	1536
418	1106	1533
419	1108	1531
420	1111	1528
421	1113	1524
422	1114	1520
423	1116	1516
424	1119	1514
425	1127	1518
426	1129	1515
427	1133	1515
428	1137	1513
429	1140	1511
430	1141	1507
431	1143	1503
432	1144	1499
433	1147	1495
434	1148	1492
435	1150	1488
436	1151	1483
437	1153	1479
438	1154	1475
439	1156	1471
440	1158	1468
441	1159	1464
442	1161	1460
443	1162	1456
444	1164	1452
445	1165	1448
446	1167	1444
447	1169	1441
448	1171	1437
449	1173	1434
450	1175	1431
451	1177	1428
452	1179	1424
453	1180	1420
454	1182	1416
455	1183	1412
456	1185	1408
457	1186	1403
458	1187	1399
459	1189	1395
460	1190	1391
461	1191	1387
462	1193	1383
463	1195	1380
464	1197	1377
465	1198	1373
466	1200	1369
467	1202	1366
468	1203	1363
469	1205	1359
470	1207	1355
471	1208	1351
472	1209	1348
473	1211	1344
474	1214	1342
475	1216	1339
476	1218	1335
477	1219	1332
478	1221	1328
479	1222	1324
480	1224	1321
481	1225	1317
482	1226	1313
483	1228	1309
484	1230	1306
485	1232	1303
486	1233	1299
487	1234	1295
488	1236	1292
489	1238	1289
490	1240	1285
491	1241	1282
492	1242	1278
493	1244	1274
494	1245	1270
495	1247	1267
496	1249	1264
497	1251	1261
498	1252	1257
499	1253	1253
500	1255	1250
501	1257	1247
502	1259	1244
503	1260	1240
504	1262	1237
505	1263	1233
506	1264	1229
507	1268	1228
508	1270	1225
509	1271	1221
510	1272	1218
511	1274	1214
512	1275	1210
513	1276	1207
514	1278	1203
515	1279	1200
516	1281	1196
517	1282	1193
518	1283	1189
519	1285	1187
520	1287	1183
521	1289	1180
522	1290	1177
523	1292	1173
524	1294	1170
